tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:130398,,,"Kecmanovic, Miomir",,,SRB,,sr:competitor:63438,,,"McDonald, Mackenzie",,,USA,,4-6 2-6,3,round_of_32,,2,2,45,34,23,7,7,,9,2,5,50,36,21,5,4,,5,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:39234,,,"Lajovic, Dusan",,,SRB,,sr:competitor:71280,,,"Kokkinakis, Thanasi",,,AUS,,3-6 6-1 6-4,3,round_of_32,,3,0,84,62,41,14,11,,9,4,4,77,56,36,10,9,,6,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:505550,,,"Arnaldi, Matteo",,,ITA,,sr:competitor:108565,,,"Zapata Miralles, Bernabe",,,ESP,,6-4 6-3,3,round_of_32,,1,4,55,26,17,22,8,,10,1,1,70,49,25,11,5,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58221,,,"O'Connell, Christopher",,,AUS,,sr:competitor:63606,,,"Rinderknech, Arthur",,,FRA,,6-4 6-4,3,round_of_32,,9,2,48,31,29,10,9,,5,10,2,67,49,34,6,7,,1,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58369,,,"Bolt, Alex",,,AUS,,sr:competitor:161262,,,"Seyboth Wild, Thiago",,,BRA,,6-3 6-2,3,round_of_32,,7,1,38,27,22,10,8,,11,2,6,65,46,28,9,5,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:87690,,,"Thompson, Jordan",,,AUS,,sr:competitor:371476,,,"Diaz Acosta, Facundo",,,ARG,,6-2 6-2,3,round_of_32,,1,0,42,26,22,11,8,,8,2,4,52,35,16,13,4,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:104847,,,"Sonego, Lorenzo",,,ITA,,sr:competitor:47975,,,"Hanfmann, Yannick",,,DEU,,5-7 6-2 6-7,3,round_of_32,,14,2,101,76,64,8,15,,4,5,0,111,71,50,27,15,,4,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:227358,,,"Walton, Adam",,,AUS,,6-1 6-3,3,round_of_32,,9,3,48,25,21,14,8,,9,4,0,51,35,23,3,4,,4,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:163480,8,,"Bublik, Alexander",,,KAZ,,sr:competitor:675175,,,"McCabe, James",,,AUS,,2-6 3-6,3,round_of_32,,2,5,45,31,25,8,7,,6,1,1,60,34,12,16,4,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:16375,,,"Evans, Daniel",,,GBR,,sr:competitor:299130,,,"Hijikata, Rinky",,,AUS,,3-6 4-6,3,round_of_32,,5,2,55,36,31,12,10,,11,4,5,64,41,27,13,7,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:89632,2,,"Jarry, Nicolas",,,CHL,,sr:competitor:505550,,,"Arnaldi, Matteo",,,ITA,,7-6 6-7 4-6,3,round_of_16,,9,3,121,84,64,17,15,,10,17,5,116,74,57,21,14,,8,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:58221,,,"O'Connell, Christopher",,,AUS,,sr:competitor:371436,,,"Shevchenko, Alexander",,,KAZ,,3-6 1-6,3,round_of_16,,12,1,44,28,25,10,8,,8,3,1,45,31,18,6,4,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:352776,,,"Draper, Jack",,,GBR,,sr:competitor:130398,,,"Kecmanovic, Miomir",,,SRB,,7-5 6-7 6-7,3,round_of_16,,12,4,132,77,58,28,16,,3,12,5,118,75,51,28,16,,12,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:203681,3,,"Korda, Sebastian",,,USA,,sr:competitor:104847,,,"Sonego, Lorenzo",,,ITA,,4-6 6-7,3,round_of_16,,6,3,62,35,32,15,10,,4,4,2,72,52,34,11,8,,5,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:138546,1,,"Paul, Tommy",,,USA,,sr:competitor:58369,,,"Bolt, Alex",,,AUS,,6-3 6-2,3,round_of_16,,11,0,51,31,25,15,9,,5,5,0,53,35,22,7,5,,2,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:39234,,,"Lajovic, Dusan",,,SRB,,7-5 4-6 6-3,3,round_of_16,,8,6,94,58,43,21,13,,10,2,1,86,64,42,10,11,,12,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:163480,8,,"Bublik, Alexander",,,KAZ,,sr:competitor:16375,,,"Evans, Daniel",,,GBR,,6-4 2-6 1-6,3,round_of_16,,21,13,73,50,40,14,11,,7,2,4,64,39,23,13,7,,10,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:359602,4,,"Musetti, Lorenzo",,,ITA,,sr:competitor:87690,,,"Thompson, Jordan",,,AUS,,6-4 6-1,3,round_of_16,,3,0,33,24,23,9,8,,7,5,0,66,36,20,14,5,,0,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:203681,3,,"Korda, Sebastian",,,USA,,sr:competitor:58221,,,"O'Connell, Christopher",,,AUS,,4-6 4-6,3,quarterfinal,,10,1,63,38,31,16,10,,7,5,4,62,43,30,11,8,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:89632,2,,"Jarry, Nicolas",,,CHL,,6-4 7-5,3,quarterfinal,,9,0,58,39,31,11,10,,7,9,3,74,52,33,10,8,,1,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:163480,8,,"Bublik, Alexander",,,KAZ,,sr:competitor:359602,4,,"Musetti, Lorenzo",,,ITA,,3-6 7-6 5-7,3,quarterfinal,,17,11,91,57,53,14,14,,14,3,2,113,73,45,22,11,,8,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:352776,,,"Draper, Jack",,,GBR,,sr:competitor:138546,1,,"Paul, Tommy",,,USA,,1-6 4-6,3,quarterfinal,,3,2,45,24,22,13,8,,7,2,1,53,37,21,8,5,,1,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:203681,3,,"Korda, Sebastian",,,USA,,2-6 1-6,3,semifinal,,7,1,57,39,30,11,8,,14,0,2,53,32,18,9,3,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:352776,,,"Draper, Jack",,,GBR,,sr:competitor:163480,8,,"Bublik, Alexander",,,KAZ,,7-6 6-4,3,semifinal,,8,0,59,35,28,16,9,,4,7,9,65,45,36,7,8,,3,,,,
sr:competition:31359,"ATP Adelaide, Australia Men Singles",,,atp_250,2024-01-06,,sr:competitor:339377,7,,"Lehecka, Jiri",,,CZE,,sr:competitor:352776,,,"Draper, Jack",,,GBR,,6-4 4-6 3-6,3,final,,8,1,91,60,45,18,14,,5,7,2,78,48,35,19,12,,9,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:145112,,,"Huesler, Marc-Andrea",,,CHE,,sr:competitor:247607,8,,"Shimabukuro, Sho",,,JPN,,6-2 6-4,3,qualification_round_1,,6,0,60,43,32,12,10,,9,3,3,65,44,26,11,6,,1,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:105607,,,"Choinski, Jan",,,GBR,,sr:competitor:170946,5,,"Bergs, Zizou",,,BEL,,6-2 6-2,3,qualification_round_1,,4,1,50,35,31,10,10,,6,9,1,49,31,19,6,5,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:48632,1,,"Daniel, Taro",,,JPN,,sr:competitor:1093401,,,"Wong, Tsz Fu",,,HKG,,6-0 6-3,3,qualification_round_1,,3,0,46,21,17,16,8,,10,0,3,39,20,11,9,3,,0,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:399633,6,,"Atmane, Terence",,,FRA,,sr:competitor:162638,,,"Wong, Hong Kit",,,HKG,,4-6 2-6,3,qualification_round_1,,9,3,52,34,29,13,9,,7,3,0,53,30,22,8,6,,6,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:443702,,,"Burruchaga, Roman Andres",,,ARG,,sr:competitor:45258,7,,"de Loore, Joris",,,BEL,,6-7 7-6 6-4,3,qualification_round_1,,8,4,107,71,54,22,15,,6,18,1,106,79,54,17,15,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:276563,,,"Virtanen, Otto",,,FIN,,sr:competitor:126356,2,,"Munar, Jaume",,,ESP,,6-3 3-6 4-6,3,qualification_round_1,,15,1,83,54,42,15,12,,5,3,1,74,58,41,10,11,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:47764,3,,"Broady, Liam",,,GBR,,sr:competitor:172482,,,"Dougaz, Aziz",,,TUN,,6-3 6-3,3,qualification_round_1,,1,3,53,40,31,7,8,,9,3,3,55,29,20,11,5,,4,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:100069,,,"Sachko, Vitaliy",,,UKR,,sr:competitor:223714,4,,"Piros, Zsombor",,,HUN,,3-6 2-6,3,qualification_round_1,,3,0,69,50,34,7,7,,11,0,3,52,39,20,6,3,,9,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:48632,1,,"Daniel, Taro",,,JPN,,sr:competitor:105607,,,"Choinski, Jan",,,GBR,,6-4 3-6 6-4,3,qualification_final,,8,3,88,54,40,21,13,,2,8,0,77,52,38,17,13,,7,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:145112,,,"Huesler, Marc-Andrea",,,CHE,,sr:competitor:276563,,,"Virtanen, Otto",,,FIN,,2-6 0-6,3,qualification_final,,8,0,31,22,22,6,7,,9,3,0,50,30,15,8,2,,0,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:47764,3,,"Broady, Liam",,,GBR,,sr:competitor:443702,,,"Burruchaga, Roman Andres",,,ARG,,6-2 6-3,3,qualification_final,,2,3,41,28,25,12,9,,7,1,3,69,39,22,16,5,,0,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:721347,,,"Shang, Juncheng",,,CHN,,sr:competitor:97231,7,,"Djere, Laslo",,,SRB,,6-7 6-3 7-6,3,round_of_32,,4,0,97,65,52,19,14,,11,11,3,118,87,65,11,13,,2,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:100069,,,"Sachko, Vitaliy",,,UKR,,sr:competitor:399633,6,,"Atmane, Terence",,,FRA,,7-6 6-1,3,qualification_final,,2,1,58,41,33,11,10,,8,6,3,60,34,22,15,6,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:218538,,,"Kotov, Pavel",,,,,sr:competitor:125006,,,"Borges, Nuno",,,PRT,,6-2 6-4,3,round_of_32,,4,2,55,45,33,6,8,,6,4,2,63,34,20,15,5,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:167370,,,"Ruusuvuori, Emil",,,FIN,,sr:competitor:94485,,,"Bonzi, Benjamin",,,FRA,,6-7 6-2 6-1,3,round_of_32,,5,4,95,51,33,25,10,,25,5,2,110,71,44,13,6,,7,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:102339,,,"Van de Zandschulp, Botic",,,NLD,,sr:competitor:503814,,,"Mochizuki, Shintaro",,,JPN,,5-7 1-6,3,round_of_32,,3,3,68,42,30,14,8,,10,1,1,58,26,20,10,4,,12,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:83397,,,"Ofner, Sebastian",,,AUT,,sr:competitor:63438,,,"McDonald, Mackenzie",,,USA,,6-1 6-2,3,round_of_32,,6,2,42,27,20,8,7,,7,0,3,43,30,17,4,2,,1,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:130398,,,"Kecmanovic, Miomir",,,SRB,,sr:competitor:48632,,,"Daniel, Taro",,,JPN,,6-3 6-2,3,round_of_32,,5,1,45,32,25,10,8,,5,2,1,58,39,24,6,4,,2,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:47764,,,"Broady, Liam",,,GBR,,sr:competitor:73987,,,"Cachin, Pedro",,,ARG,,6-4 6-0,3,round_of_32,,2,2,44,29,21,11,7,,7,1,1,41,30,13,5,3,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:46391,5,,"Struff, Jan-Lennard",,,DEU,,sr:competitor:15387,,,"Cilic, Marin",,,HRV,,3-6 7-6 7-6,3,round_of_32,,11,4,120,69,49,26,12,,10,20,12,118,64,49,31,14,,10,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:16720,,,"Bautista Agut, Roberto",,,ESP,,sr:competitor:254383,,,"Marozsan, Fabian",,,HUN,,2-6 3-6,3,round_of_32,,3,0,56,38,27,12,8,,6,7,4,40,30,21,2,4,,6,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:145112,,,"Huesler, Marc-Andrea",,,CHE,,sr:competitor:100069,,,"Sachko, Vitaliy",,,UKR,,6-4 6-4,3,round_of_32,,10,1,60,39,28,15,10,,3,3,2,52,36,28,9,8,,4,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:671637,8,,"Fils, Arthur",,,FRA,,sr:competitor:124916,,,"Gojo, Borna",,,HRV,,3-6 6-4 1-6,3,round_of_32,,2,2,77,48,38,16,12,,6,9,2,74,47,35,11,9,,8,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:359602,6,,"Musetti, Lorenzo",,,ITA,,sr:competitor:449767,,,"Wong, Coleman",,,HKG,,6-4 7-5,3,round_of_32,,4,2,61,42,32,13,10,,8,6,4,76,46,32,16,8,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:721347,,,"Shang, Juncheng",,,CHN,,sr:competitor:102339,,,"Van de Zandschulp, Botic",,,NLD,,7-6 6-7 6-7,3,round_of_16,,2,6,123,69,50,32,16,,7,13,1,115,73,50,25,15,,8,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:101101,3,,"Tiafoe, Frances",,,USA,,sr:competitor:130398,,,"Kecmanovic, Miomir",,,SRB,,6-3 7-6,3,round_of_16,,8,1,68,42,37,14,12,,3,3,1,69,39,28,18,9,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:167370,,,"Ruusuvuori, Emil",,,FIN,,sr:competitor:90080,2,,"Khachanov, Karen",,,,,7-6 2-6 6-2,3,round_of_16,,5,3,93,58,41,20,12,,8,10,0,99,55,37,22,11,,8,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:218538,,,"Kotov, Pavel",,,,,sr:competitor:359602,6,,"Musetti, Lorenzo",,,ITA,,4-6 3-6,3,round_of_16,,2,4,67,48,38,8,9,,4,1,0,59,43,29,7,7,,4,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:16720,,,"Bautista Agut, Roberto",,,ESP,,sr:competitor:255595,4,,"Cerundolo, Francisco",,,ARG,,7-5 6-3,3,round_of_16,,2,0,67,47,38,9,11,,2,6,3,57,36,26,12,8,,4,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:83397,,,"Ofner, Sebastian",,,AUT,,sr:competitor:46391,5,,"Struff, Jan-Lennard",,,DEU,,7-6 6-7 6-7,3,round_of_16,,16,1,122,70,55,29,17,,12,14,4,127,76,56,29,16,,6,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:671637,8,,"Fils, Arthur",,,FRA,,sr:competitor:145112,,,"Huesler, Marc-Andrea",,,CHE,,5-7 5-7,3,round_of_16,,3,5,73,51,38,11,10,,15,9,4,90,55,37,16,8,,7,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:106755,1,,"Rublev, Andrey",,,,,sr:competitor:47764,,,"Broady, Liam",,,GBR,,6-4 7-6,3,round_of_16,,10,3,66,38,31,18,9,,10,4,2,89,63,43,10,8,,3,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:167370,,,"Ruusuvuori, Emil",,,FIN,,sr:competitor:218538,,,"Kotov, Pavel",,,,,3-6 6-7,3,quarterfinal,,5,0,76,44,33,19,11,,3,3,2,61,45,30,10,8,,6,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:83397,,,"Ofner, Sebastian",,,AUT,,sr:competitor:16720,,,"Bautista Agut, Roberto",,,ESP,,6-4 6-4,3,quarterfinal,,21,0,56,42,35,7,10,,6,0,2,59,43,35,8,8,,0,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:721347,,,"Shang, Juncheng",,,CHN,,sr:competitor:101101,3,,"Tiafoe, Frances",,,USA,,4-6 4-6,3,quarterfinal,,3,1,53,25,19,23,10,,8,12,2,54,34,28,11,8,,1,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:106755,1,,"Rublev, Andrey",,,,,sr:competitor:671637,8,,"Fils, Arthur",,,FRA,,6-4 1-6 6-2,3,quarterfinal,,8,0,64,40,30,15,10,,10,12,7,85,53,38,15,10,,6,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:167370,,,"Ruusuvuori, Emil",,,FIN,,sr:competitor:83397,,,"Ofner, Sebastian",,,AUT,,6-4 5-7 3-6,3,semifinal,,9,1,87,60,48,16,14,,12,11,1,99,56,40,22,12,,4,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:106755,1,,"Rublev, Andrey",,,,,sr:competitor:721347,,,"Shang, Juncheng",,,CHN,,4-6 6-2 6-3,3,semifinal,,12,1,97,55,38,29,13,,8,4,3,75,45,27,19,10,,14,,,,
sr:competition:41218,"ATP Hong Kong, Hong Kong Men Singles",,,atp_250,2023-12-31,,sr:competitor:106755,1,,"Rublev, Andrey",,,,,sr:competitor:167370,,,"Ruusuvuori, Emil",,,FIN,,6-4 6-4,3,final,,5,0,58,40,29,14,10,,7,5,4,58,39,26,12,8,,1,,,,
sr:competition:2709,"ATP Acapulco, Mexico Men Singles",,,atp_500,2024-02-25,,sr:competitor:188321,6,,"Kovacevic, Aleksandar",,,USA,,sr:competitor:138528,,,"Mejia, Nicolas",,,COL,,4-6 6-4 2-6,3,round_of_16,,8,4,98,58,45,19,13,,12,4,2,94,65,46,15,11,,8,,,,
sr:competition:2709,"ATP Acapulco, Mexico Men Singles",,,atp_500,2024-02-25,,sr:competitor:62790,8,,"Lestienne, Constant",,,FRA,,sr:competitor:47764,,,"Broady, Liam",,,GBR,,4-6 4-6,3,round_of_16,,7,2,59,30,26,16,9,,10,1,7,57,33,24,15,7,,4,,,,
sr:competition:2709,"ATP Acapulco, Mexico Men Singles",,,atp_500,2024-02-25,,sr:competitor:399637,1,,"Cobolli, Flavio",,,ITA,,sr:competitor:226050,,,"Holt, Brandon",,,USA,,6-3 0-6 7-5,3,round_of_16,,5,0,86,37,25,29,11,,2,0,1,69,44,30,18,11,,7,,,,
